TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,2259,INE083A01026,MOREPENLAB,EQ,,,,,MOREPEN LAB. LTD,58.4,58.48,56.05,56.82,56.69,58.23,,56.82,,,5642616,320382176.94,18281,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,15057,INE0N7S01028,MOS,ST,,,,,MOS UTILITY LIMITED,11.4,11.4,11.4,11.4,11.4,12.0,,11.4,,,200000,2280000.0,28,F1,4000,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,29459,INE935B01025,MOSCHIP,EQ,,,,,MOSCHIP TECHNOLOGIES LTD,235.0,247.5,231.41,245.28,247.0,233.79,,245.28,,,4661914,1120312051.67,43210,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8596,INE0FS801015,MSUMI,EQ,,,,,MOTHERSON SUMI WRNG IND L,39.7,40.31,39.61,40.13,40.1,39.68,,40.13,,,3704128,148018324.0,24926,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,21423,INF247L01023,MOM100,EQ,,,,,MOTILAL OS MIDCAP100 ETF,67.9,68.08,67.46,68.0,68.04,67.85,,67.98,,,385059,26145300.79,2011,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,22739,INF247L01AP3,MON100,EQ,,,,,MOTILAL OS NASDAQ100 ETF,322.81,322.81,322.81,322.81,322.81,327.96,,322.81,,,380379,122790144.99,1143,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,14947,INE338I01027,MOTILALOFS,EQ,,,,,MOTILAL OSWAL FIN LTD,972.8,980.45,963.45,964.75,964.65,973.15,,964.75,,,265938,257517077.65,16171,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,19289,INF247L01536,MOM50,EQ,,,,,MOTILAL OSWAL M50 ETF,254.03,254.12,252.0,252.64,252.0,253.54,,252.65,,,3012,762023.04,113,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,1507,INF247L01AK4,MOGSEC,EQ,,,,,MOTILALAMC - G5,64.73,65.18,64.73,65.15,65.15,64.93,,65.16,,,906,58931.19,50,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,757669,INF247L01FR8,MOALPHA50,EQ,,,,,MOTILALAMC - MOALPHA50,54.06,54.5,53.8,54.29,54.3,53.58,,54.29,,,10975,595410.62,59,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,761693,INF247L01GV8,MOBANK10,EQ,,,,,MOTILALAMC - MOBANK10,17.31,17.46,17.15,17.23,17.46,17.33,,17.23,,,13780,237726.68,83,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,30065,INF247L01EV3,MOCAPITAL,EQ,,,,,MOTILALAMC - MOCAPITAL,54.56,54.86,54.16,54.22,54.36,54.48,,54.22,,,583444,31761396.27,2163,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,24944,INF247L01DJ0,MODEFENCE,EQ,,,,,MOTILALAMC - MODEFENCE,102.74,103.75,102.01,103.55,103.7,102.62,,103.55,,,975195,100259342.48,5347,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,759374,INF247L01GH7,MOENERGY,EQ,,,,,MOTILALAMC - MOENERGY,39.87,40.23,39.5,39.64,39.84,39.76,,39.64,,,110097,4374149.21,591,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,757791,INF247L01FY4,MOGOLD,EQ,,,,,MOTILALAMC - MOGOLD,140.0,141.15,139.95,140.75,140.6,139.9,,140.7,,,18840,2647093.05,249,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,10508,INF247L01BB1,MOHEALTH,EQ,,,,,MOTILALAMC - MOHEALTH,51.26,51.7,50.74,51.23,51.28,51.26,,51.23,,,44790,2292802.5,520,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,757031,INF247L01FL1,MOINFRA,EQ,,,,,MOTILALAMC - MOINFRA,61.86,61.86,61.56,61.76,61.8,61.68,,61.76,,,1965,121355.04,39,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,759891,INF247L01GI5,MOIPO,EQ,,,,,MOTILALAMC - MOIPO,46.7,46.7,46.36,46.7,46.7,46.59,,46.7,,,1006,46778.26,16,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8654,INF247L01BL0,MOLOWVOL,EQ,,,,,MOTILALAMC - MOLOWVOL,37.11,37.27,37.06,37.06,37.06,37.04,,37.06,,,50909,1887641.49,10,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,25606,INF247L01DK8,MOMENTUM50,EQ,,,,,MOTILALAMC - MOMENTUM50,52.46,53.19,52.46,53.12,53.19,52.71,,53.12,,,458280,24293243.69,1237,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,757099,INF247L01FK3,MOMGF,EQ,,,,,MOTILALAMC - MOMGF,160.14,160.96,159.6,160.96,160.96,160.08,,160.96,,,1226,196099.31,15,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,757817,INF247L01FQ0,MOMIDMTM,EQ,,,,,MOTILALAMC - MOMIDMTM,64.86,64.86,63.28,63.56,63.4,63.28,,63.56,,,54807,3480723.59,225,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,760054,INF247L01GK1,MOMNC,EQ,,,,,MOTILALAMC - MOMNC,32.59,32.63,32.41,32.59,32.6,32.67,,32.59,,,1690,54857.84,11,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8182,INF247L01BK2,MOMOMENTUM,EQ,,,,,MOTILALAMC - MOMOMENTUM,61.92,62.25,61.62,62.06,61.62,61.62,,62.06,,,39779,2465719.02,283,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,756900,INF247L01FC0,MON50EQUAL,EQ,,,,,MOTILALAMC - MON50EQUAL,33.71,33.71,32.9,33.3,33.45,33.05,,33.3,,,19065,636599.8,91,F1,1,,,,,
