trade_date,index_name,open,high,low,close,points_change,change_pct,volume,turnover_rs_cr,pe,pb,div_yield,source
2025-10-01,NIFTY 50,24620.55,24867.95,24605.95,24836.3,225.2,0.92,308135228,29041.17,21.96,3.4,1.34,nse_index_close_archive
2025-10-03,NIFTY 50,24759.55,24904.8,24747.55,24894.25,57.95,0.23,366929642,31409.06,22.01,3.4,1.33,nse_index_close_archive
2025-10-06,NIFTY 50,24916.55,25095.95,24881.65,25077.65,183.4,0.74,271953070,25160.76,22.18,3.43,1.32,nse_index_close_archive
2025-10-07,NIFTY 50,25085.3,25220.9,25076.3,25108.3,30.65,0.12,286833765,26176.23,22.2,3.43,1.32,nse_index_close_archive
2025-10-08,NIFTY 50,25079.75,25192.5,25008.5,25046.15,-62.15,-0.25,225967495,21701.19,22.15,3.43,1.33,nse_index_close_archive
2025-10-09,NIFTY 50,25074.3,25199.25,25024.3,25181.8,135.65,0.54,286253252,22617.86,22.27,3.44,1.32,nse_index_close_archive
2025-10-10,NIFTY 50,25167.65,25330.75,25156.85,25285.35,103.55,0.41,232943306,21749.23,22.36,3.46,1.31,nse_index_close_archive
2025-10-13,NIFTY 50,25177.3,25267.3,25152.3,25227.35,-58.0,-0.23,234285202,20806.83,22.31,3.45,1.32,nse_index_close_archive
2025-10-14,NIFTY 50,25277.55,25310.35,25060.55,25145.5,-81.85,-0.32,292129083,24151.97,22.23,3.44,1.32,nse_index_close_archive
2025-10-15,NIFTY 50,25181.95,25365.15,25159.35,25323.55,178.05,0.71,289930172,25202.02,22.39,3.46,1.32,nse_index_close_archive
2025-10-16,NIFTY 50,25394.9,25625.4,25376.85,25585.3,261.75,1.03,372777021,32008.64,22.7,3.5,1.31,nse_index_close_archive
2025-10-17,NIFTY 50,25546.85,25781.5,25508.6,25709.85,124.55,0.49,422055809,35106.96,22.78,3.52,1.31,nse_index_close_archive
2025-10-20,NIFTY 50,25824.6,25926.2,25788.5,25843.15,133.3,0.52,301133193,29637.12,22.72,3.53,1.3,nse_index_close_archive
2025-10-21,NIFTY 50,25901.2,25934.35,25825.8,25868.6,25.45,0.1,42477128,3831.1,22.74,3.54,1.3,nse_index_close_archive
2025-10-23,NIFTY 50,26057.2,26104.2,25862.45,25891.4,22.8,0.09,448404894,41777.68,22.76,3.54,1.29,nse_index_close_archive
2025-10-24,NIFTY 50,25935.1,25944.15,25718.2,25795.15,-96.25,-0.37,284913477,23527.98,22.67,3.53,1.3,nse_index_close_archive
2025-10-27,NIFTY 50,25843.2,26005.95,25827.0,25966.05,170.9,0.66,266337274,23989.06,22.84,3.55,1.36,nse_index_close_archive
2025-10-28,NIFTY 50,25939.95,26041.7,25810.05,25936.2,-29.85,-0.11,395231207,37023.32,22.82,3.55,1.36,nse_index_close_archive
2025-10-29,NIFTY 50,25982.0,26097.85,25960.3,26053.9,117.7,0.45,321880610,26309.32,22.92,3.56,1.29,nse_index_close_archive
2025-10-30,NIFTY 50,25984.4,26032.05,25845.25,25877.85,-176.05,-0.68,257373001,24180.46,22.77,3.54,1.3,nse_index_close_archive
2025-10-31,NIFTY 50,25863.8,25953.75,25711.2,25722.1,-155.75,-0.6,334384400,28788.4,22.64,3.52,1.29,nse_index_close_archive
2025-11-03,NIFTY 50,25696.85,25803.1,25645.5,25763.35,41.25,0.16,275858501,23949.88,22.67,3.52,1.29,nse_index_close_archive
2025-11-04,NIFTY 50,25744.75,25787.4,25578.4,25597.65,-165.7,-0.64,305143084,29307.41,22.51,3.5,1.31,nse_index_close_archive
2025-11-06,NIFTY 50,25593.35,25679.15,25491.55,25509.7,-87.95,-0.34,371852417,36129.62,22.29,3.49,1.27,nse_index_close_archive
2025-11-07,NIFTY 50,25433.8,25551.25,25318.45,25492.3,-17.4,-0.07,305606393,35487.0,22.28,3.49,1.29,nse_index_close_archive
2025-11-10,NIFTY 50,25503.5,25653.45,25503.5,25574.35,82.05,0.32,243592948,25023.65,22.31,3.5,1.31,nse_index_close_archive
2025-11-11,NIFTY 50,25617.0,25715.8,25449.25,25694.95,120.6,0.47,297714069,28285.51,22.4,3.51,1.3,nse_index_close_archive
2025-11-12,NIFTY 50,25834.3,25934.55,25781.15,25875.8,180.85,0.7,343864299,30633.19,22.52,3.54,1.29,nse_index_close_archive
2025-11-13,NIFTY 50,25906.1,26010.7,25808.4,25879.15,3.35,0.01,385170023,30145.74,22.51,3.54,1.29,nse_index_close_archive
2025-11-14,NIFTY 50,25767.9,25940.2,25740.8,25910.05,30.9,0.12,518943416,33121.81,22.53,3.54,1.29,nse_index_close_archive
2025-11-17,NIFTY 50,25948.2,26024.2,25906.35,26013.45,103.4,0.4,264610565,23384.35,22.49,3.54,1.31,nse_index_close_archive
2025-11-18,NIFTY 50,26021.8,26029.85,25876.5,25910.05,-103.4,-0.4,280000989,26059.6,22.33,3.52,1.32,nse_index_close_archive
2025-11-19,NIFTY 50,25918.1,26074.65,25856.2,26052.65,142.6,0.55,250110008,24496.86,22.45,3.54,1.29,nse_index_close_archive
2025-11-20,NIFTY 50,26132.1,26246.65,26063.2,26192.15,139.5,0.54,240425729,25000.17,22.8,3.56,1.28,nse_index_close_archive
2025-11-21,NIFTY 50,26109.55,26179.2,26052.2,26068.15,-124.0,-0.47,235581427,24720.07,22.7,3.54,1.29,nse_index_close_archive
2025-11-24,NIFTY 50,26122.8,26142.8,25912.15,25959.5,-108.65,-0.42,464655063,44895.45,22.6,3.53,1.29,nse_index_close_archive
2025-11-25,NIFTY 50,25998.5,26032.6,25857.5,25884.8,-74.7,-0.29,260454909,25320.15,22.54,3.52,1.3,nse_index_close_archive
2025-11-26,NIFTY 50,25842.95,26215.15,25842.95,26205.3,320.5,1.24,275265169,31666.03,22.82,3.56,1.28,nse_index_close_archive
2025-11-27,NIFTY 50,26261.25,26310.45,26141.9,26215.55,10.25,0.04,240287057,25306.47,22.82,3.56,1.28,nse_index_close_archive
2025-11-28,NIFTY 50,26237.45,26280.75,26172.4,26202.95,-12.6,-0.05,202511545,20525.36,22.81,3.56,1.28,nse_index_close_archive
2025-12-01,NIFTY 50,26325.8,26325.8,26124.2,26175.75,-27.2,-0.1,213828573,21734.75,22.79,3.56,1.28,nse_index_close_archive
2025-12-02,NIFTY 50,26087.95,26154.6,25997.85,26032.2,-143.55,-0.55,254803113,26298.82,22.66,3.54,1.29,nse_index_close_archive
2025-12-03,NIFTY 50,26004.9,26066.45,25891.0,25986.0,-46.2,-0.18,265660108,25320.85,22.62,3.53,1.29,nse_index_close_archive
2025-12-04,NIFTY 50,25981.85,26098.25,25938.95,26033.75,47.75,0.18,248099545,26377.76,22.67,3.54,1.29,nse_index_close_archive
2025-12-05,NIFTY 50,25999.8,26202.6,25985.35,26186.45,152.7,0.59,249254405,27491.07,22.8,3.56,1.28,nse_index_close_archive
2025-12-08,NIFTY 50,26159.8,26178.7,25892.25,25960.55,-225.9,-0.86,320729920,31677.57,22.6,3.53,1.29,nse_index_close_archive
2025-12-09,NIFTY 50,25867.1,25923.65,25728.0,25839.65,-120.9,-0.47,275978160,29894.41,22.5,3.51,1.3,nse_index_close_archive
2025-12-10,NIFTY 50,25864.05,25947.65,25734.55,25758.0,-81.65,-0.32,207944446,21975.7,22.43,3.5,1.3,nse_index_close_archive
2025-12-11,NIFTY 50,25771.4,25922.8,25693.25,25898.55,140.55,0.55,206099631,20145.19,22.55,3.52,1.3,nse_index_close_archive
2025-12-12,NIFTY 50,25971.2,26057.6,25938.45,26046.95,148.4,0.57,216344338,19484.07,22.68,3.54,1.29,nse_index_close_archive
2025-12-15,NIFTY 50,25930.05,26047.15,25904.75,26027.3,-19.65,-0.08,181557703,17444.03,22.66,3.54,1.29,nse_index_close_archive
2025-12-16,NIFTY 50,25951.5,25980.75,25834.35,25860.1,-167.2,-0.64,264351195,23554.69,22.51,3.52,1.3,nse_index_close_archive
2025-12-17,NIFTY 50,25902.4,25929.15,25770.35,25818.55,-41.55,-0.16,206521258,19787.57,22.48,3.51,1.3,nse_index_close_archive
2025-12-18,NIFTY 50,25764.7,25902.35,25726.3,25815.55,-3.0,-0.01,197553755,20046.07,22.48,3.51,1.3,nse_index_close_archive
2025-12-19,NIFTY 50,25911.5,25993.35,25880.45,25966.4,150.85,0.58,382927284,36600.58,22.61,3.53,1.29,nse_index_close_archive
2025-12-22,NIFTY 50,26055.85,26180.7,26047.8,26172.4,206.0,0.79,252990050,25333.26,22.79,3.56,1.28,nse_index_close_archive
2025-12-23,NIFTY 50,26205.2,26233.55,26119.05,26177.15,4.75,0.02,216553840,19670.5,22.79,3.56,1.28,nse_index_close_archive
2025-12-24,NIFTY 50,26170.65,26236.4,26123.0,26142.1,-35.05,-0.13,188846828,17474.44,22.76,3.55,1.28,nse_index_close_archive
2025-12-26,NIFTY 50,26121.25,26144.2,26008.6,26042.3,-99.8,-0.38,142243763,12263.06,22.67,3.54,1.29,nse_index_close_archive
2025-12-29,NIFTY 50,26063.35,26106.8,25920.3,25942.1,-100.2,-0.38,234312888,18184.45,22.59,3.53,1.29,nse_index_close_archive
2025-12-30,NIFTY 50,25940.9,25976.75,25878.0,25938.85,-3.25,-0.01,396893959,39492.31,22.58,3.53,1.29,nse_index_close_archive
2025-12-31,NIFTY 50,25971.05,26187.95,25969.0,26129.6,190.75,0.74,246314941,20703.99,22.75,3.55,1.28,nse_index_close_archive
2026-01-01,NIFTY 50,26173.3,26197.55,26113.4,26146.55,16.95,0.06,425631910,23454.66,22.76,3.56,1.28,nse_index_close_archive
2026-01-02,NIFTY 50,26155.1,26340.0,26118.4,26328.55,182.0,0.7,357547806,23770.13,22.92,3.58,1.28,nse_index_close_archive
2026-01-05,NIFTY 50,26333.7,26373.2,26210.05,26250.3,-78.25,-0.3,338777649,25742.83,22.85,3.57,1.28,nse_index_close_archive
2026-01-06,NIFTY 50,26189.7,26273.95,26124.75,26178.7,-71.6,-0.27,383040203,34567.52,22.79,3.56,1.28,nse_index_close_archive
2026-01-07,NIFTY 50,26143.1,26187.15,26067.9,26140.75,-37.95,-0.14,338216740,30232.63,22.76,3.55,1.28,nse_index_close_archive
2026-01-08,NIFTY 50,26106.5,26133.2,25858.45,25876.85,-263.9,-1.01,328520950,27556.32,22.53,3.52,1.3,nse_index_close_archive
2026-01-09,NIFTY 50,25840.4,25940.6,25623.0,25683.3,-193.55,-0.75,348757262,27486.64,22.36,3.49,1.31,nse_index_close_archive
2026-01-12,NIFTY 50,25669.05,25813.15,25473.4,25790.25,106.95,0.42,275757268,23874.45,22.45,3.51,1.3,nse_index_close_archive
2026-01-13,NIFTY 50,25897.35,25899.8,25603.3,25732.3,-57.95,-0.22,339536336,31434.03,22.4,3.5,1.3,nse_index_close_archive
2026-01-14,NIFTY 50,25648.55,25791.75,25603.95,25665.6,-66.7,-0.26,393126596,28944.88,22.38,3.49,1.31,nse_index_close_archive
2026-01-16,NIFTY 50,25696.05,25873.5,25662.4,25694.35,28.75,0.11,434041776,37156.05,22.4,3.49,1.37,nse_index_close_archive
2026-01-19,NIFTY 50,25653.1,25653.3,25494.35,25585.5,-108.85,-0.42,443087953,33632.38,22.31,3.48,1.29,nse_index_close_archive
2026-01-20,NIFTY 50,25580.3,25585.0,25171.35,25232.5,-353.0,-1.38,409772324,31020.36,21.91,3.43,1.31,nse_index_close_archive
2026-01-21,NIFTY 50,25141.0,25300.95,24919.8,25157.5,-75.0,-0.3,395624981,30984.61,21.85,3.42,1.31,nse_index_close_archive
2026-01-22,NIFTY 50,25344.15,25435.75,25168.5,25289.9,132.4,0.53,486395433,34583.24,21.97,3.44,1.31,nse_index_close_archive
2026-01-23,NIFTY 50,25344.6,25347.95,25025.3,25048.65,-241.25,-0.95,393944908,31844.65,21.76,3.41,1.32,nse_index_close_archive
2026-01-27,NIFTY 50,25063.35,25246.65,24932.55,25175.4,126.75,0.51,618696080,50989.25,21.91,3.42,1.33,nse_index_close_archive
2026-01-28,NIFTY 50,25258.85,25372.1,25187.65,25342.75,167.35,0.66,574903942,42364.52,22.07,3.45,1.3,nse_index_close_archive
2026-01-29,NIFTY 50,25345.0,25458.15,25159.8,25418.9,76.15,0.3,582389331,44306.95,22.12,3.46,1.3,nse_index_close_archive
2026-01-30,NIFTY 50,25247.55,25370.7,25213.65,25320.65,-98.25,-0.39,508388604,40772.08,22.04,3.44,1.3,nse_index_close_archive
2026-02-01,NIFTY 50,25333.75,25440.9,24571.75,24825.45,-495.2,-1.96,379370206,25572.6,21.57,3.38,1.3,nse_index_close_archive
2026-02-02,NIFTY 50,24796.5,25108.1,24679.4,25088.4,262.95,1.06,449215604,34038.26,21.8,3.41,1.29,nse_index_close_archive
2026-02-03,NIFTY 50,26308.05,26341.2,25641.3,25727.55,639.15,2.55,637263148,52338.39,22.35,3.5,1.26,nse_index_close_archive
2026-02-04,NIFTY 50,25675.05,25818.55,25563.95,25776.0,48.45,0.19,429788986,36899.12,22.38,3.5,1.26,nse_index_close_archive
2026-02-05,NIFTY 50,25755.9,25757.65,25579.5,25642.8,-133.2,-0.52,343812628,28582.32,22.21,3.49,1.27,nse_index_close_archive
2026-02-06,NIFTY 50,25605.8,25703.95,25491.9,25693.7,50.9,0.2,375476124,29777.45,22.26,3.49,1.28,nse_index_close_archive
2026-02-09,NIFTY 50,25888.7,25922.25,25780.9,25867.3,173.6,0.68,359386006,28449.55,22.79,3.52,1.25,nse_index_close_archive
2026-02-10,NIFTY 50,25922.65,25989.45,25870.45,25935.15,67.85,0.26,460878237,32795.1,22.73,3.53,1.24,nse_index_close_archive
2026-02-11,NIFTY 50,25997.45,26009.4,25899.8,25953.85,18.7,0.07,331389240,31456.05,22.74,3.53,1.24,nse_index_close_archive
2026-02-12,NIFTY 50,25906.7,25906.7,25752.4,25807.2,-146.65,-0.57,419388014,38977.68,22.58,3.51,1.2,nse_index_close_archive
2026-02-13,NIFTY 50,25571.15,25630.35,25444.3,25471.1,-336.1,-1.3,453523192,40137.15,22.24,3.46,1.21,nse_index_close_archive
2026-02-16,NIFTY 50,25423.6,25697.0,25372.7,25682.75,211.65,0.83,325487729,22205.92,22.51,3.49,1.2,nse_index_close_archive
2026-02-17,NIFTY 50,25637.95,25764.4,25570.3,25725.4,42.65,0.17,378436265,27818.81,22.52,3.5,1.2,nse_index_close_archive
2026-02-18,NIFTY 50,25752.65,25828.05,25645.15,25819.35,93.95,0.37,400807585,22228.22,22.6,3.51,1.21,nse_index_close_archive
2026-02-19,NIFTY 50,25873.35,25885.3,25388.75,25454.35,-365.0,-1.41,333658812,24756.87,22.28,3.46,1.22,nse_index_close_archive
2026-02-20,NIFTY 50,25406.55,25663.55,25379.75,25571.25,116.9,0.46,309373691,24024.7,22.38,3.48,1.22,nse_index_close_archive
